ID;Hora de início;Hora de conclusão;Email;Nome;Primeiro Grupo;Informar o número do processo analisado.;Qual é o assunto do processo?;Qual é o resultado do recurso do contribuinte ao Carf?;Dar uma nota para a sua compreensão do texto. Se você considera que conseguiu comprender o voto resumido (lide, argumentos, decisão).;Dar uma nota para a sua compreensão do texto. Se você considera que conseguiu comprender o voto resumido (lide, argumentos, decisão).2;Dar uma nota para a coesão do texto, para o encadeamento das frases. Como o resumo exclui frases, se aparentemente as frases mais importantes foram mantidas. Se não parece haver uma lacuna entre a...
31;3/23/21 18:18:26;3/23/21 18:21:31;;;Primeiro grupo;10166900016200921;IRPJ/CSLL;Procedente ou procedente em parte;;8;7
13;3/23/21 16:16:10;3/23/21 16:18:00;;;Primeiro grupo;10240001879200712;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;10;10
108;3/25/21 18:03:24;3/25/21 18:06:08;;;Primeiro grupo;10240001879200712;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;8;8
129;3/26/21 11:30:35;3/26/21 11:32:12;;;Primeiro grupo;10240001879200712;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;9;9
149;3/29/21 10:20:33;3/29/21 10:56:54;;;Segundo grupo;10240001879200712;IRPF - Imposto de Renda Pessoa Fisica;Não sei;;3;1
185;3/30/21 11:37:44;3/30/21 11:41:14;;;Segundo grupo;10240001879200712;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;9;9
195;3/30/21 11:50:47;3/30/21 12:57:42;;;Segundo grupo;10240001879200712;IRPF - Imposto de Renda Pessoa Fisica;Não sei;;6;4
245;3/31/21 8:46:11;3/31/21 8:47:22;;;Segundo grupo;10240001879200712;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;7;7
283;4/3/21 16:40:34;4/3/21 16:44:38;;;Primeiro grupo;10240001879200712;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;10;10
356;4/5/21 15:05:05;4/5/21 15:08:13;;;Segundo grupo;10240001879200712;IRPF - Imposto de Renda Pessoa Fisica;Não sei;;8;9
357;4/5/21 15:08:22;4/5/21 15:09:03;;;Segundo grupo;10240001879200712;IRPF - Imposto de Renda Pessoa Fisica;Improcedente;;10;10
391;4/9/21 19:27:36;4/9/21 19:31:23;;;Segundo grupo;10240001879200712;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;7;7
447;4/11/21 14:06:18;4/11/21 14:06:54;;;Segundo grupo;10240001879200712;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;10;9
493;4/11/21 16:21:47;4/11/21 16:22:24;;;Terceiro grupo;10240001879200712;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;8;8
542;4/12/21 9:06:23;4/12/21 9:10:54;;;Terceiro grupo;10240001879200712;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;9;9
602;4/12/21 11:02:29;4/12/21 11:05:45;;;Segundo grupo;10240001879200712;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;9;9
742;4/12/21 21:57:03;4/12/21 22:06:48;;;Segundo grupo;10240001879200712;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;9;7
768;4/13/21 9:55:43;4/13/21 9:57:12;;;Primeiro grupo;10240001879200712;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;10;10
786;4/13/21 10:17:40;4/13/21 10:20:17;;;Primeiro grupo;10240001879200712;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;5;5
802;4/13/21 11:24:20;4/13/21 11:29:04;;;Segundo grupo;10240001879200712;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;8;8
865;4/13/21 15:17:37;4/13/21 15:19:20;;;Terceiro grupo;10240001879200712;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;10;8
908;4/14/21 10:14:25;4/14/21 10:14:48;;;Terceiro grupo;10240001879200712;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;8;8
956;4/14/21 11:15:21;4/14/21 11:16:22;;;Terceiro grupo;10240001879200712;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;10;10
1008;4/14/21 19:41:44;4/14/21 19:43:12;;;Segundo grupo;10240001879200712;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;10;10
1024;4/15/21 7:49:56;4/15/21 7:50:15;;;Segundo grupo;10240001879200712;IRPF - Imposto de Renda Pessoa Fisica;Não sei;;7;6
1091;4/15/21 11:57:41;4/15/21 11:59:31;;;Terceiro grupo;10240001879200712;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;10;10
1119;4/15/21 12:18:58;4/15/21 12:22:10;;;Terceiro grupo;10240001879200712;IRPF - Imposto de Renda Pessoa Fisica;Não sei;;9;10
1215;4/16/21 12:10:49;4/16/21 12:11:39;;;Primeiro grupo;10240001879200712;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;10;9
1236;4/17/21 15:52:30;4/17/21 15:52:57;;;Segundo grupo;10240001879200712;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;8;7
67;3/24/21 14:47:47;3/24/21 14:51:56;;;Primeiro grupo;102803900221200951;IRPJ/CSLL;Não sei;;3;3
11;3/23/21 16:13:26;3/23/21 16:14:56;;;Primeiro grupo;10280720288200852;IRPJ/CSLL;Procedente ou procedente em parte;;10;10
81;3/24/21 16:36:52;3/24/21 16:39:11;;;Terceiro grupo;10280720288200852;IRPJ/CSLL;Não sei;;5;4
89;3/25/21 16:31:12;3/25/21 16:33:06;;;Primeiro grupo;10280720288200852;IRPJ/CSLL;Procedente ou procedente em parte;;5;5
106;3/25/21 17:54:41;3/25/21 17:55:10;;;Primeiro grupo;10280720288200852;IRPJ/CSLL;Procedente ou procedente em parte;;4;4
127;3/26/21 11:26:15;3/26/21 11:28:40;;;Primeiro grupo;10280720288200852;IRPJ/CSLL;Procedente ou procedente em parte;;8;7
141;3/26/21 16:42:56;3/26/21 16:45:48;;;Segundo grupo;10280720288200852;IRPJ/CSLL;Procedente ou procedente em parte;;9;8
162;3/29/21 15:37:24;3/29/21 15:40:18;;;Terceiro grupo;10280720288200852;IRPJ/CSLL;Não sei;;4;4
181;3/30/21 11:30:39;3/30/21 11:34:23;;;Segundo grupo;10280720288200852;IRPJ/CSLL;Procedente ou procedente em parte;;8;9
187;3/30/21 11:28:05;3/30/21 11:46:11;;;Segundo grupo;10280720288200852;IRPJ/CSLL;Procedente ou procedente em parte;;7;8
243;3/31/21 8:42:06;3/31/21 8:43:08;;;Segundo grupo;10280720288200852;IRPJ/CSLL;Procedente ou procedente em parte;;7;7
281;4/3/21 16:32:18;4/3/21 16:36:54;;;Primeiro grupo;10280720288200852;IRPJ/CSLL;Procedente ou procedente em parte;;5;7
336;4/5/21 13:58:32;4/5/21 13:59:32;;;Segundo grupo;10280720288200852;IRPJ/CSLL;Procedente ou procedente em parte;;9;9
352;4/5/21 14:59:51;4/5/21 15:00:46;;;Segundo grupo;10280720288200852;IRPJ/CSLL;Procedente ou procedente em parte;;10;10
353;4/5/21 15:01:04;4/5/21 15:01:20;;;Segundo grupo;10280720288200852;IRPJ/CSLL;Procedente ou procedente em parte;;10;10
381;4/6/21 19:46:54;4/6/21 19:50:13;;;Segundo grupo;10280720288200852;IRPJ/CSLL;Procedente ou procedente em parte;;9;9
389;4/9/21 19:21:17;4/9/21 19:23:31;;;Segundo grupo;10280720288200852;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;10;9
445;4/11/21 14:04:51;4/11/21 14:05:27;;;Segundo grupo;10280720288200852;IRPJ/CSLL;Procedente ou procedente em parte;;8;9
491;4/11/21 16:19:11;4/11/21 16:20:10;;;Terceiro grupo;10280720288200852;IRPJ/CSLL;Procedente ou procedente em parte;;6;7
539;4/12/21 8:57:50;4/12/21 9:04:14;;;Terceiro grupo;10280720288200852;IRPJ/CSLL;Não sei;;6;5
599;4/12/21 10:56:42;4/12/21 10:59:59;;;Segundo grupo;10280720288200852;IRPJ/CSLL;Procedente ou procedente em parte;;8;8
684;4/12/21 18:06:58;4/12/21 18:07:56;;;Primeiro grupo;10280720288200852;IRPJ/CSLL;Procedente ou procedente em parte;;4;4
701;4/12/21 21:01:10;4/12/21 21:04:21;;;Primeiro grupo;10280720288200852;IRPJ/CSLL;Procedente ou procedente em parte;;9;9
737;4/12/21 21:45:18;4/12/21 21:50:16;;;Segundo grupo;10280720288200852;IRPJ/CSLL;Procedente ou procedente em parte;;5;2
760;4/13/21 9:46:02;4/13/21 9:48:19;;;Terceiro grupo;10280720288200852;IRPJ/CSLL;Não sei;;8;7
800;4/13/21 11:19:16;4/13/21 11:20:12;;;Segundo grupo;10280720288200852;IRPJ/CSLL;Procedente ou procedente em parte;;9;9
906;4/14/21 10:10:18;4/14/21 10:12:40;;;Terceiro grupo;10280720288200852;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;8;6
954;4/14/21 11:12:32;4/14/21 11:14:25;;;Terceiro grupo;10280720288200852;IRPJ/CSLL;Não sei;;8;8
1006;4/14/21 19:38:11;4/14/21 19:39:57;;;Segundo grupo;10280720288200852;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;8;8
1022;4/15/21 7:48:45;4/15/21 7:49:08;;;Segundo grupo;10280720288200852;IRPJ/CSLL;Procedente ou procedente em parte;;5;5
1087;4/15/21 11:47:44;4/15/21 11:56:28;;;Terceiro grupo;10280720288200852;IRPJ/CSLL;Procedente ou procedente em parte;;5;5
850;4/13/21 14:39:04;4/13/21 14:45:10;;;Terceiro grupo;1028390021100951;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;10;10
7;3/23/21 15:38:09;3/23/21 15:47:19;;;Primeiro grupo;10283900221200951;IRPJ/CSLL;Procedente ou procedente em parte;;10;10
84;3/24/21 19:58:28;3/24/21 19:59:01;;;Segundo grupo;10283900221200952;Não sei;Não sei;;1;1
88;3/25/21 16:27:42;3/25/21 16:30:53;;;Primeiro grupo;10283900221200952;IRPJ/CSLL;Procedente ou procedente em parte;;7;7
114;3/26/21 8:14:00;3/26/21 8:15:56;;;Segundo grupo;10283900221200952;Não sei;Não sei;;1;1
123;3/26/21 11:11:42;3/26/21 11:14:43;;;Primeiro grupo;10283900221200952;IRPJ/CSLL;Procedente ou procedente em parte;;6;5
137;3/26/21 16:37:23;3/26/21 16:38:33;;;Segundo grupo;10283900221200952;Não sei;Não sei;;1;1
145;3/27/21 15:06:30;3/27/21 15:09:02;;;Segundo grupo;10283900221200952;Não sei;Não sei;;1;1
165;3/29/21 21:17:13;3/29/21 21:22:58;;;Terceiro grupo;10283900221200952;IRPJ/CSLL;Procedente ou procedente em parte;;9;8
239;3/31/21 8:35:12;3/31/21 8:37:05;;;Segundo grupo;10283900221200952;IRPJ/CSLL;Procedente ou procedente em parte;;7;6
277;4/3/21 16:14:42;4/3/21 16:18:01;;;Primeiro grupo;10283900221200952;IRPJ/CSLL;Procedente ou procedente em parte;;6;7
332;4/5/21 13:53:23;4/5/21 13:55:08;;;Segundo grupo;10283900221200952;IRPJ/CSLL;Não sei;;3;3
344;4/5/21 14:41:57;4/5/21 14:42:52;;;Segundo grupo;10283900221200952;Não sei;Não sei;;1;1
345;4/5/21 14:42:56;4/5/21 14:43:59;;;Segundo grupo;10283900221200952;IRPJ/CSLL;Procedente ou procedente em parte;;9;9
385;4/9/21 19:05:17;4/9/21 19:12:15;;;Segundo grupo;10283900221200952;Não sei;Não sei;;1;1
441;4/11/21 13:57:56;4/11/21 13:58:35;;;Segundo grupo;10283900221200952;Não sei;Não sei;;6;6
488;4/11/21 16:16:47;4/11/21 16:17:17;;;Terceiro grupo;10283900221200952;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;7;7
535;4/12/21 8:22:09;4/12/21 8:28:54;;;Terceiro grupo;10283900221200952;IRPJ/CSLL;Procedente ou procedente em parte;;8;7
572;4/12/21 10:04:46;4/12/21 10:05:28;;;Terceiro grupo;10283900221200952;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;8;4
592;4/12/21 10:46:33;4/12/21 10:47:10;;;Segundo grupo;10283900221200952;IRPJ/CSLL;Procedente ou procedente em parte;;1;1
657;4/12/21 14:58:59;4/12/21 15:01:39;;;Terceiro grupo;10283900221200952;IRPJ/CSLL;Procedente ou procedente em parte;;9;9
680;4/12/21 15:50:26;4/12/21 15:56:22;;;Primeiro grupo;10283900221200952;IRPJ/CSLL;Procedente ou procedente em parte;;6;6
687;4/12/21 18:14:52;4/12/21 18:17:35;;;Primeiro grupo;10283900221200952;NGDT - Normas Gerais de Direito Tributário;Não sei;;5;5
719;4/12/21 21:23:53;4/12/21 21:30:58;;;Segundo grupo;10283900221200952;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;1;1
753;4/13/21 9:36:34;4/13/21 9:38:28;;;Terceiro grupo;10283900221200952;IRPJ/CSLL;Procedente ou procedente em parte;;8;7
756;4/13/21 9:41:39;4/13/21 9:43:37;;;Primeiro grupo;10283900221200952;IRPJ/CSLL;Procedente ou procedente em parte;;7;6
770;4/13/21 9:58:18;4/13/21 10:00:13;;;Segundo grupo;10283900221200952;PAF - Processo Administrativo Fiscal;Procedente ou procedente em parte;;10;9
902;4/14/21 9:58:39;4/14/21 10:00:40;;;Terceiro grupo;10283900221200952;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;7;7
943;4/14/21 11:02:45;4/14/21 11:07:20;;;Terceiro grupo;10283900221200952;IRPJ/CSLL;Procedente ou procedente em parte;;10;10
974;4/14/21 14:40:17;4/14/21 14:42:45;;;Terceiro grupo;10283900221200952;IRPJ/CSLL;Procedente ou procedente em parte;;6;6
978;4/14/21 14:53:20;4/14/21 14:54:29;;;Segundo grupo;10283900221200952;Não sei;Não sei;;1;1
997;4/14/21 16:36:15;4/14/21 16:43:56;;;Terceiro grupo;10283900221200952;IRPJ/CSLL;Procedente ou procedente em parte;;8;8
1002;4/14/21 19:29:38;4/14/21 19:32:58;;;Segundo grupo;10283900221200952;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;1;1
1003;4/14/21 19:33:01;4/14/21 19:34:22;;;Segundo grupo;10283900221200952;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;10;8
1018;4/15/21 7:45:02;4/15/21 7:46:06;;;Segundo grupo;10283900221200952;Não sei;Não sei;;2;2
1083;4/15/21 11:26:17;4/15/21 11:30:48;;;Terceiro grupo;10283900221200952;IRPJ/CSLL;Procedente ou procedente em parte;;10;9
1144;4/15/21 14:45:00;4/15/21 14:47:04;;;Segundo grupo;10283900221200952;Não sei;Não sei;;1;1
1162;4/15/21 17:30:03;4/15/21 17:30:52;;;Primeiro grupo;102839002221200940;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;10;9
696;4/12/21 20:30:45;4/12/21 20:34:17;;;Terceiro grupo;103800903442200980;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;10;10
51;3/23/21 18:58:57;3/23/21 19:00:38;;;Primeiro grupo;10380902416200856;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;5;5
103;3/25/21 17:14:29;3/25/21 17:16:48;;;Primeiro grupo;10380902416200856;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;6;6
121;3/26/21 8:45:36;3/26/21 8:47:12;;;Segundo grupo;10380902416200856;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;10;10
212;3/30/21 15:03:18;3/30/21 15:05:27;;;Segundo grupo;10380902416200856;Não sei;Procedente ou procedente em parte;;9;9
269;3/31/21 16:33:15;3/31/21 16:35:57;;;Primeiro grupo;10380902416200856;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;8;7
328;4/4/21 17:56:13;4/4/21 17:57:13;;;Segundo grupo;10380902416200856;IRPJ/CSLL;Procedente ou procedente em parte;;8;6
339;4/5/21 14:20:30;4/5/21 14:26:03;;;Segundo grupo;10380902416200856;IRPJ/CSLL;Procedente ou procedente em parte;;9;9
428;4/10/21 0:19:25;4/10/21 0:20:48;;;Segundo grupo;10380902416200856;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;8;5
437;4/10/21 9:50:43;4/10/21 9:53:09;;;Primeiro grupo;10380902416200856;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;8;8
484;4/11/21 14:25:59;4/11/21 14:26:36;;;Segundo grupo;10380902416200856;PAF - Processo Administrativo Fiscal;Procedente ou procedente em parte;;10;9
